Height (in)	Voltage (V)	Height errors	Voltage error
12.696	0	0.001	0.01
12.659	0.27	0.001	0.01
12.653	0.6	0.001	0.01
12.647	1.11	0.001	0.01
12.638	2.1	0.001	0.01
12.632	3.05	0.001	0.01
12.624	4.12	0.001	0.01
12.616	5.02	0.001	0.01
12.612	6.06	0.001	0.01
12.606	7.11	0.001	0.01
12.599	8.05	0.001	0.01
12.594	9.08	0.001	0.01
12.588	10.12	0.001	0.01
12.583	11.04	0.001	0.01
12.578	12.01	0.001	0.01
12.568	13	0.001	0.01
12.563	13.96	0.001	0.01
12.552	14.98	0.001	0.01
12.539	16.1	0.001	0.01
12.517	16.99	0.001	0.01
12.485	16.9	0.001	0.01
