Height (in)	Voltage (V)	Height errors (maybe take up to 0.003 due to bad measurements?)	Voltage error
12.675	0	0.001	0.01
12.644	0.21	0.001	0.01
12.628	1.38	0.001	0.01
12.62	2.26	0.001	0.01
12.616	2.99	0.001	0.01
12.610	4.06	0.001	0.01
12.605	4.96	0.001	0.01
12.600	6.07	0.001	0.01
12.593	6.91	0.001	0.01
12.589	7.99	0.001	0.01
12.585	9.01	0.001	0.01
12.580	10.05	0.001	0.01
12.575	10.99	0.001	0.01
12.568	11.84	0.001	0.01
12.562	13.01	0.001	0.01
12.557	14	0.001	0.01
12.551	14.92	0.001	0.01
12.542	16.04	0.001	0.01
12.533	16.96	0.001	0.01
12.52	18.03	0.001	0.01
