f=1130.000000, dc=1019.060000, amp=0.060000, phase=0.450000
f=1130.940000, dc=1019.320000, amp=0.050000, phase=0.380000
f=1131.890000, dc=1019.690000, amp=0.040000, phase=0.900000
f=1133.070000, dc=1019.870000, amp=0.080000, phase=0.500000
f=1134.020000, dc=1020.650000, amp=0.060000, phase=1.240000
f=1134.970000, dc=1020.940000, amp=0.040000, phase=1.420000
f=1135.920000, dc=1021.630000, amp=0.110000, phase=0.910000
f=1137.110000, dc=1021.790000, amp=0.130000, phase=1.240000
f=1138.060000, dc=1021.690000, amp=0.130000, phase=0.160000
f=1139.020000, dc=1021.750000, amp=0.050000, phase=0.860000
f=1139.970000, dc=1021.290000, amp=0.070000, phase=-0.340000
f=1140.950000, dc=1021.080000, amp=0.320000, phase=1.250000
f=1141.900000, dc=1020.490000, amp=0.160000, phase=-1.260000
f=1143.100000, dc=1019.760000, amp=0.140000, phase=0.570000
f=1144.050000, dc=1019.300000, amp=0.100000, phase=0.190000
f=1145.010000, dc=1019.150000, amp=0.070000, phase=-1.310000
f=1145.970000, dc=1019.730000, amp=0.120000, phase=0.140000
f=1146.930000, dc=1019.590000, amp=0.040000, phase=2.560000
f=1147.890000, dc=1019.810000, amp=0.210000, phase=0.510000
f=1149.100000, dc=1019.830000, amp=0.160000, phase=1.860000
f=1150.000000, dc=1020.240000, amp=0.160000, phase=1.710000
f=1150.960000, dc=1021.080000, amp=0.240000, phase=2.440000
f=1151.920000, dc=1021.700000, amp=0.040000, phase=0.030000
f=1152.880000, dc=1021.210000, amp=0.030000, phase=1.990000
f=1154.090000, dc=1021.520000, amp=0.050000, phase=-0.490000
f=1155.050000, dc=1021.240000, amp=0.240000, phase=2.360000
f=1156.020000, dc=1020.830000, amp=0.330000, phase=2.190000
f=1156.990000, dc=1020.590000, amp=0.260000, phase=2.480000
f=1157.960000, dc=1020.300000, amp=0.250000, phase=1.330000
f=1158.930000, dc=1020.130000, amp=0.230000, phase=-3.130000
f=1160.000000, dc=1019.880000, amp=0.170000, phase=1.860000
f=1160.970000, dc=1020.290000, amp=0.310000, phase=3.000000
f=1161.940000, dc=1020.160000, amp=0.520000, phase=2.660000
f=1162.910000, dc=1019.790000, amp=0.200000, phase=2.250000
f=1163.880000, dc=1018.930000, amp=0.200000, phase=2.460000
f=1165.100000, dc=1018.230000, amp=0.220000, phase=3.000000
f=1166.070000, dc=1017.890000, amp=0.180000, phase=2.170000
f=1167.050000, dc=1018.080000, amp=0.150000, phase=2.630000
f=1168.030000, dc=1018.120000, amp=0.280000, phase=2.240000
f=1169.010000, dc=1018.260000, amp=0.150000, phase=2.290000
f=1169.990000, dc=1017.630000, amp=0.260000, phase=2.230000
f=1170.980000, dc=1018.060000, amp=0.240000, phase=2.040000
f=1171.950000, dc=1018.440000, amp=0.150000, phase=2.850000
f=1172.930000, dc=1018.310000, amp=0.190000, phase=2.750000
f=1173.910000, dc=1018.250000, amp=0.220000, phase=2.260000

