f=701.020000, dc=830.330000, amp=0.220000, phase=-0.380000
f=701.170000, dc=830.580000, amp=0.220000, phase=-0.520000
f=701.460000, dc=830.300000, amp=0.210000, phase=-0.560000
f=701.610000, dc=830.510000, amp=0.200000, phase=-0.470000
f=701.750000, dc=830.580000, amp=0.240000, phase=-0.460000
f=702.050000, dc=830.560000, amp=0.240000, phase=-0.500000
f=702.190000, dc=830.240000, amp=0.220000, phase=-0.630000
f=702.340000, dc=830.500000, amp=0.200000, phase=-0.590000
f=702.630000, dc=830.380000, amp=0.220000, phase=-0.580000
f=702.780000, dc=830.550000, amp=0.170000, phase=-0.500000
f=702.930000, dc=830.460000, amp=0.200000, phase=-0.410000
f=703.220000, dc=830.460000, amp=0.220000, phase=-0.410000
f=703.370000, dc=830.460000, amp=0.230000, phase=-0.480000
f=703.660000, dc=830.750000, amp=0.170000, phase=-0.500000
f=703.810000, dc=830.660000, amp=0.190000, phase=-0.460000
f=703.960000, dc=830.580000, amp=0.250000, phase=-0.470000
f=704.250000, dc=830.640000, amp=0.190000, phase=-0.470000
f=704.400000, dc=830.700000, amp=0.200000, phase=-0.590000
f=704.550000, dc=830.550000, amp=0.220000, phase=-0.530000
f=704.850000, dc=830.790000, amp=0.210000, phase=-0.570000
f=704.990000, dc=830.450000, amp=0.210000, phase=-0.420000
f=705.140000, dc=830.530000, amp=0.170000, phase=-0.540000
f=705.440000, dc=830.380000, amp=0.200000, phase=-0.350000
f=705.590000, dc=830.380000, amp=0.210000, phase=-0.420000
f=705.730000, dc=830.460000, amp=0.180000, phase=-0.400000
f=706.030000, dc=830.420000, amp=0.220000, phase=-0.490000
f=706.180000, dc=830.480000, amp=0.180000, phase=-0.370000
f=706.330000, dc=830.440000, amp=0.200000, phase=-0.300000
f=706.620000, dc=830.480000, amp=0.190000, phase=-0.490000
f=706.770000, dc=830.440000, amp=0.210000, phase=-0.440000
f=707.070000, dc=830.490000, amp=0.180000, phase=-0.490000
f=707.220000, dc=830.530000, amp=0.160000, phase=-0.490000
f=707.370000, dc=830.550000, amp=0.180000, phase=-0.270000
f=707.670000, dc=830.530000, amp=0.180000, phase=-0.420000
f=707.820000, dc=830.490000, amp=0.210000, phase=-0.460000
f=707.960000, dc=830.620000, amp=0.180000, phase=-0.250000
f=708.260000, dc=830.630000, amp=0.190000, phase=-0.390000
f=708.410000, dc=830.650000, amp=0.190000, phase=-0.400000
f=708.560000, dc=830.660000, amp=0.170000, phase=-0.260000
f=708.860000, dc=830.670000, amp=0.160000, phase=-0.340000
f=709.010000, dc=830.540000, amp=0.160000, phase=-0.300000
f=709.160000, dc=830.650000, amp=0.170000, phase=-0.460000
f=709.460000, dc=830.610000, amp=0.180000, phase=-0.310000
f=709.610000, dc=830.700000, amp=0.170000, phase=-0.550000
f=709.760000, dc=830.450000, amp=0.170000, phase=-0.310000
f=710.000000, dc=830.520000, amp=0.180000, phase=-0.290000
f=710.150000, dc=830.470000, amp=0.160000, phase=-0.370000
f=710.440000, dc=830.630000, amp=0.140000, phase=-0.380000
f=710.590000, dc=830.610000, amp=0.170000, phase=-0.470000
f=710.740000, dc=830.580000, amp=0.170000, phase=-0.360000
f=711.040000, dc=830.550000, amp=0.170000, phase=-0.300000
f=711.190000, dc=830.560000, amp=0.170000, phase=-0.420000
f=711.330000, dc=830.500000, amp=0.160000, phase=-0.360000
f=711.630000, dc=830.640000, amp=0.160000, phase=-0.280000
f=711.780000, dc=830.620000, amp=0.160000, phase=-0.500000
f=711.930000, dc=830.680000, amp=0.170000, phase=-0.470000
f=712.230000, dc=830.390000, amp=0.210000, phase=-0.340000
f=712.370000, dc=830.480000, amp=0.150000, phase=-0.280000
f=712.670000, dc=830.340000, amp=0.120000, phase=-0.100000
f=712.820000, dc=830.360000, amp=0.160000, phase=-0.250000
f=712.970000, dc=830.250000, amp=0.150000, phase=-0.280000
f=713.270000, dc=830.510000, amp=0.140000, phase=-0.230000
f=713.420000, dc=830.290000, amp=0.160000, phase=-0.270000
f=713.570000, dc=830.140000, amp=0.190000, phase=-0.230000
f=713.870000, dc=830.300000, amp=0.180000, phase=-0.410000
f=714.020000, dc=830.380000, amp=0.150000, phase=-0.270000
f=714.170000, dc=830.290000, amp=0.160000, phase=-0.250000
f=714.470000, dc=830.350000, amp=0.180000, phase=-0.040000
f=714.620000, dc=830.430000, amp=0.140000, phase=-0.360000
f=714.770000, dc=830.570000, amp=0.130000, phase=-0.170000
f=715.070000, dc=830.600000, amp=0.160000, phase=-0.200000
f=715.220000, dc=830.210000, amp=0.130000, phase=-0.150000
f=715.370000, dc=830.090000, amp=0.150000, phase=-0.140000
f=715.670000, dc=830.160000, amp=0.170000, phase=-0.250000
f=715.820000, dc=830.280000, amp=0.150000, phase=-0.220000
f=715.970000, dc=830.240000, amp=0.140000, phase=-0.100000
f=716.270000, dc=830.040000, amp=0.130000, phase=-0.310000
f=716.420000, dc=830.200000, amp=0.150000, phase=-0.460000
f=716.570000, dc=830.220000, amp=0.140000, phase=-0.400000
f=716.870000, dc=830.210000, amp=0.130000, phase=0.020000
f=717.020000, dc=830.210000, amp=0.150000, phase=-0.200000
